"n","mean_distance","min_distance","mean_fitness"
7,32981537621179.4,514832973.3416,0
7,2.74493020840064e+35,340895906701.902,0
7,1.44817220443359e+46,5210385737.11926,0
7,116993306629967,1911588921.30174,0
7,4.96668843450793e+63,340900809129.712,0
7,20478480256341192,9360917583.48917,0
7,12882745923936948,237272271310.311,0
7,9.25283967435454e+42,330585268161.558,0
7,2.08617259032504e+63,340701419155.75,0
7,6.87261218312593e+84,340898902025.418,0
7,6.21446057559011e+64,27022311784.8796,0
7,4.36183413244096e+123,223656966538.999,0
7,4.09927432993233e+22,337766800503.932,0
7,5773417574741804,422201111.443522,0
7,2.04542449907592e+157,291744550451.713,0
7,3.39671044149887e+30,309641526884.1,0
7,190263353964506208,292718995609.644,0
7,9915360691853.04,858160981.46843,0
7,65672069449587277824,264936221345.516,0
7,3.24725995856962e+52,331025073075.417,0
7,1.59256798890519e+36,26537197460.5573,0
7,1.80974199712183e+147,269341951838.384,0
7,4.73422010267266e+36,340896019134.668,0
7,212427871067.219,1345706604.83683,0
7,5763918912940921,631010878.168323,0
7,2.67575096692054e+25,340900812055.619,0
7,2.08113170590255e+28,340900812324.564,0
7,680023352234.179,452199.64309591,0
7,1.62102607126298e+27,337819332580.621,0
7,1064636120423.77,390865443.544731,0
7,957351477561.069,111192724943.827,0
12,394182708126.779,811224806.635762,0
12,2.38731776872982e+80,6082371430.07015,0
12,6.16935980524044e+20,7146918073.3092,0
12,8.62861689352067e+23,102779435.537182,0
12,9.10185936764628e+73,87268944104.3982,0
12,155314947876620,2208752412.11421,0
12,9.09953823427507e+25,340240262817.254,0
12,227631951160548,7232611032.11639,0
12,5419661414296.84,70988249.9833033,0
12,2.40928479575754e+31,11524209404.555,0
12,161286642768.583,282457739.383434,0
12,9.84950960665279e+60,40858724603.6085,0
12,5332499987625.24,50637168.8783111,0
12,4.14385653048774e+31,123232362663.721,0
12,1.27643672534478e+30,196716957826.421,0
12,8.28099993194268e+27,7208954780.83163,0
12,33886152578789916,62516709062.7212,0
12,8089744053168.9,7390042369.1037,0
12,4135169523501.62,37826014546.7816,0
12,589916977701.272,16676384.5936835,0
12,2.8765343232213e+21,3786097750.15135,0
12,133387783683.581,340541374.533837,0
12,2.37675307633446e+37,42524456577.9983,0
12,335916432287518784,44424225.5799522,0
12,76036575614339328,140843437654.238,0
12,2.32623897772991e+20,103775695249.886,0
12,12133314655200.2,23672665472.652,0
12,1.24445278282827e+29,99730963.2663131,0
12,NA,NA,NA
12,72119495545744080,139601461.479639,0
12,NA,NA,NA
12,2.95776069180176e+29,157641754.745632,0
12,87664868222342.5,32380052.2690574,0
12,1.48551059012664e+20,41802006840.1437,0
12,2.82695464152366e+135,3452384748.93728,0
12,3.30632185182911e+150,9344372333.41391,0
12,3.12185246348772e+32,24116330979.6127,0
12,2981096588638.73,218353551.343815,0
12,2.80951131366389e+80,340615966801.937,0
12,3.72857256458835e+24,111416740.391122,0
12,1.76319076370138e+162,217057667318.669,0
12,6.86563673678043e+79,318007688120.357,0
12,7786705969087836,10260531137.819,0
12,1.15899143192748e+67,316125856657.722,0
12,8.8876097250986e+21,82245302144.7516,0
12,3.51411074966394e+25,83074241954.1014,0
12,1.02661328054024e+192,340589430857.41,0
12,7948551412169.27,265657256.567089,0
12,28328910055028644,1522937298.15842,0
12,1.76353905341406e+159,57626944822.3601,0
12,21500526511659372544,48507699882.4147,0
12,1.27577527372899e+75,82469620245.3279,0
12,437119293950481,1941958912.47327,0
12,341179362134.051,162917.41348813,0
12,40217326063672200,48875025388.4008,0
12,3782941336796630016,85827931505.8736,0
12,1.06228896417196e+45,3887184157.45812,0
12,966462207843172096,27475076551.9017,0
12,3.03174494212056e+27,4766212810.5163,0
12,1.42025985193081e+21,17439935029.3358,0
12,2.36055539967692e+27,2196082259.73922,0
12,4.89242678894611e+138,331785601887.789,0
12,2.91683911273038e+33,43125848970.2159,0
12,8795655877620804608,19187555851.6941,0
12,1.1566403475593e+36,181789145886.54,0
12,1.51721450347825e+30,25797373307.5397,0
12,164805117790444,2150193488.9934,0
12,8.10685268300894e+43,1743514016.83155,0
12,4.81898076751014e+35,1985942161.7076,0
12,3.03849594924017e+23,267612708837.696,0
12,21192982743947.1,1438114779.03404,0
12,3.94174654112312e+23,150340971070.215,0
12,29592524525185.8,31514753090.2506,0
12,1.681835245818e+25,296198059195.837,0
12,1.01030950209428e+25,20015160.3665062,0
12,9.91365719456906e+245,44323761412.2038,0
12,382465372185258112,29321284458.6165,0
12,5560361813487.09,1715004433.77516,0
12,5.10057290618449e+20,72232759500.8153,0
12,307467966859.562,943585416.527248,0
12,47606404051139.4,3980274809.43989,0
12,242339814156250,67883073914.0066,0
12,2.78155354199716e+22,4197220702.18979,0
12,2.95208887534961e+34,215087946727.346,0
12,5.15968519101852e+22,28952542480.6491,0
12,14689622816285.2,12843431657.0971,0
12,NA,NA,NA
12,2.37081390640908e+20,36952873697.2323,0
12,9.71688748563819e+63,2426900799.64416,0
12,5.04105949123795e+59,40633828773.6143,0
12,4.60860615626795e+25,1342768.99147051,0
12,71830853458296.4,61383352.2368216,0
12,214246622909868960,216192808862.906,0
12,4.75786172602123e+25,2032954858.16257,0
12,2268595874327.83,25738118673.0496,0
12,37288293571894560,380541736.653497,0
12,2.17894054945421e+27,130773442023.561,0
12,1.15267375358094e+24,228183764.807342,0
12,14286636524070036,6819436.59435312,0
12,1.06979306430067e+66,3716353599.017,0
